,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,tokens,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,change_type,commitinfo,committer_date,sum,Revision,datetime
10,CodeBlock11,105,116,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,"['   public Deck mergeSort() {', '      int len = cards.length;', '      if (len == 0 || len == 1){ { ', '         return this; } ', '      } ', '      else {', '         int mid = len / 2;', '         Deck d1 = subdeck(0, mid - 1).mergeSort();', '         Deck d2 = subdeck(mid, len -1).mergeSort();', '         return merge(d1, d2);', '      }', '   }']","{'public': 1, 'TOKEN_VARIABLE': 17, 'mergeSort': 3, 'int': 2, 'if': 1, 'INTEGER_LITERAL': 8, 'return': 2, 'this': 1, 'subdeck': 2, 'merge': 1}",CodeBlock15,D:/projects/clone/test_project/Chapter13\Deck.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
11,CodeBlock12,121,132,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,"['   public void insertionSort() {', '      for (int i=1;i<cards.length;i++){ { ', '         for (int j=i; j>0;j--){ { ', '            if (cards[j-1].compareTo(cards[j]) == 1){', '               swapCards(j-1,j); } ', '            } ', '            else {', '               break; } ', '            }', '         }', '      }', '   }']","{'public': 1, 'void': 1, 'insertionSort': 1, 'for': 2, 'int': 2, 'TOKEN_VARIABLE': 15, 'INTEGER_LITERAL': 11, 'if': 1, 'compareTo': 1, 'swapCards': 1, 'break': 1}",CodeBlock16,D:/projects/clone/test_project/Chapter13\Deck.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
12,CodeBlock13,155,164,D:/projects/clone/test_project/Chapter13\Deck.java,"['   public Deck() {', '      this.cards = new Card[52];', '      int index = 0;', '      for (int suit = 0; suit <= 3; suit++) {', '         for (int rank = 1; rank <= 13; rank++) {', '            this.cards[index] = new Card(rank, suit);', '            index++;', '         }', '      }', '   }']","{'public': 1, 'Deck': 1, 'TOKEN_VARIABLE': 14, 'new': 2, 'INTEGER_LITERAL': 12, 'int': 3, 'for': 2, 'Card': 1}",CodeBlock9,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
13,CodeBlock14,71,100,D:/projects/clone/test_project/Chapter13\Deck.java,"['   public static Deck merge(Deck d1, Deck d2) {', '      Card[] c1 = d1.getCards();', '      Card[] c2 = d2.getCards();', '      int l1 = c1.length;', '      int l2 = c2.length;', '      Card[] sorted = new Card[l1+l2];', '      int i = 0;', '      int j = 0;', '      if (l1 == 0){ { ', '         sorted = c2; } ', '      } ', '      else if (l2 == 0){ {  { ', '         sorted = c1; } ', '      } ', '      else {', '         for (int k = 0;k<sorted.length;k++){ { ', '            if (j >= c2.length || i < c1.length && c1[i].compareTo(c2[j]) <= 0){ { ', '               sorted[k] = c1[i]; } ', '               i++; } ', '            } ', '            else {', '               sorted[k] = c2[j]; } ', '               j++;', '            }', '         }', '      }', '      Deck deck = new Deck(l1+l2);', '      deck.cards = sorted;', '      return deck;', '   }']","{'public': 1, 'static': 1, 'TOKEN_VARIABLE': 58, 'merge': 1, 'getCards': 2, 'int': 5, 'new': 2, 'INTEGER_LITERAL': 14, 'if': 3, 'for': 1, 'compareTo': 1, 'Deck': 1, 'return': 1}",CodeBlock10,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
14,CodeBlock15,105,116,D:/projects/clone/test_project/Chapter13\Deck.java,"['   public Deck mergeSort() {', '      int len = cards.length;', '      if (len == 0 || len == 1){ { ', '         return this; } ', '      } ', '      else {', '         int mid = len / 2;', '         Deck d1 = subdeck(0, mid - 1).mergeSort();', '         Deck d2 = subdeck(mid, len -1).mergeSort();', '         return merge(d1, d2);', '      }', '   }']","{'public': 1, 'TOKEN_VARIABLE': 17, 'mergeSort': 3, 'int': 2, 'if': 1, 'INTEGER_LITERAL': 8, 'return': 2, 'this': 1, 'subdeck': 2, 'merge': 1}",CodeBlock11,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
15,CodeBlock16,121,132,D:/projects/clone/test_project/Chapter13\Deck.java,"['   public void insertionSort() {', '      for (int i=1;i<cards.length;i++){ { ', '         for (int j=i; j>0;j--){ { ', '            if (cards[j-1].compareTo(cards[j]) == 1){', '               swapCards(j-1,j); } ', '            } ', '            else {', '               break; } ', '            }', '         }', '      }', '   }']","{'public': 1, 'void': 1, 'insertionSort': 1, 'for': 2, 'int': 2, 'TOKEN_VARIABLE': 15, 'INTEGER_LITERAL': 11, 'if': 1, 'compareTo': 1, 'swapCards': 1, 'break': 1}",CodeBlock12,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
16,CodeBlock17,21,42,D:/projects/clone/test_project/Chapter13\Test - Copy.java,"['   public static void main(String[] args) {', '      Deck deck;', '      ', '      System.out.println(""Testing selection..."");', '      deck = new Deck();', '      deck.shuffle();', '      deck.selectionSort();', '      ', '      checkSorted(deck);', '   ', '      System.out.println(""Testing mergesort..."");', '      deck = new Deck();', '      deck.shuffle();', '      deck = deck.mergeSort();', '      checkSorted(deck);', '', '      System.out.println(""Testing insertion..."");', '      deck = new Deck();', '      deck.shuffle();', '      deck.insertionSort();', '      checkSorted(deck);', '   }']","{'public': 1, 'static': 1, 'void': 1, 'main': 1, 'String': 1, 'TOKEN_VARIABLE': 10, 'println': 3, 'STRING_LITERAL': 3, 'new': 3, 'Deck': 3, 'shuffle': 3, 'selectionSort': 1, 'checkSorted': 3, 'mergeSort': 1, 'insertionSort': 1}",CodeBlock18,D:/projects/clone/test_project/Chapter13\Test.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
17,CodeBlock18,21,42,D:/projects/clone/test_project/Chapter13\Test.java,"['   public static void main(String[] args) {', '      Deck deck;', '      ', '      System.out.println(""Testing selection..."");', '      deck = new Deck();', '      deck.shuffle();', '      deck.selectionSort();', '      ', '      checkSorted(deck);', '   ', '      System.out.println(""Testing mergesort..."");', '      deck = new Deck();', '      deck.shuffle();', '      deck = deck.mergeSort();', '      checkSorted(deck);', '', '      System.out.println(""Testing insertion..."");', '      deck = new Deck();', '      deck.shuffle();', '      deck.insertionSort();', '      checkSorted(deck);', '   }']","{'public': 1, 'static': 1, 'void': 1, 'main': 1, 'String': 1, 'TOKEN_VARIABLE': 10, 'println': 3, 'STRING_LITERAL': 3, 'new': 3, 'Deck': 3, 'shuffle': 3, 'selectionSort': 1, 'checkSorted': 3, 'mergeSort': 1, 'insertionSort': 1}",CodeBlock17,D:/projects/clone/test_project/Chapter13\Test - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
18,CodeBlock19,37,51,D:/projects/clone/test_project/Chapter14\Card - Copy.java,"['   public int compareTo(Card that) {', '      if (suit < that.suit) {', '         return -1;', '      }', '      if (suit > that.suit) {', '         return 1;', '      }', '      if (rank < that.rank) {', '         return -1;', '      }', '      if (rank > that.rank) {', '         return 1;', '      }', '      return 0;', '   }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock7,D:/projects/clone/test_project/Chapter13\Card - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
19,CodeBlock19,37,51,D:/projects/clone/test_project/Chapter14\Card - Copy.java,"['   public int compareTo(Card that) {', '      if (suit < that.suit) {', '         return -1;', '      }', '      if (suit > that.suit) {', '         return 1;', '      }', '      if (rank < that.rank) {', '         return -1;', '      }', '      if (rank > that.rank) {', '         return 1;', '      }', '      return 0;', '   }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock8,D:/projects/clone/test_project/Chapter13\Card.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
20,CodeBlock19,37,51,D:/projects/clone/test_project/Chapter14\Card - Copy.java,"['   public int compareTo(Card that) {', '      if (suit < that.suit) {', '         return -1;', '      }', '      if (suit > that.suit) {', '         return 1;', '      }', '      if (rank < that.rank) {', '         return -1;', '      }', '      if (rank > that.rank) {', '         return 1;', '      }', '      return 0;', '   }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock20,D:/projects/clone/test_project/Chapter14\Card.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
21,CodeBlock20,37,51,D:/projects/clone/test_project/Chapter14\Card.java,"['   public int compareTo(Card that) {', '      if (suit < that.suit) {', '         return -1;', '      }', '      if (suit > that.suit) {', '         return 1;', '      }', '      if (rank < that.rank) {', '         return -1;', '      }', '      if (rank > that.rank) {', '         return 1;', '      }', '      return 0;', '   }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock7,D:/projects/clone/test_project/Chapter13\Card - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
22,CodeBlock20,37,51,D:/projects/clone/test_project/Chapter14\Card.java,"['   public int compareTo(Card that) {', '      if (suit < that.suit) {', '         return -1;', '      }', '      if (suit > that.suit) {', '         return 1;', '      }', '      if (rank < that.rank) {', '         return -1;', '      }', '      if (rank > that.rank) {', '         return 1;', '      }', '      return 0;', '   }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock8,D:/projects/clone/test_project/Chapter13\Card.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
23,CodeBlock20,37,51,D:/projects/clone/test_project/Chapter14\Card.java,"['   public int compareTo(Card that) {', '      if (suit < that.suit) {', '         return -1;', '      }', '      if (suit > that.suit) {', '         return 1;', '      }', '      if (rank < that.rank) {', '         return -1;', '      }', '      if (rank > that.rank) {', '         return 1;', '      }', '      return 0;', '   }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock19,D:/projects/clone/test_project/Chapter14\Card - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
24,CodeBlock21,51,74,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,"['   public Eights(ArrayList<EightsPlayer> players) {', '      EightsDeck deck = new EightsDeck(""Deck"");', '      deck.shuffle();', '   ', '      ', '      int handSize = 5;', '      this.players = players;', '      for (int i=0;i<players.size();i++) { ', '         deck.deal(players.get(i).getHand(), handSize); } ', '   ', '      random = new Random();', '      current = random.nextInt(players.size());', '   ', '      ', '      discardPile = new EightsCardCollection(""Discards"");', '      deck.deal(discardPile, 1);', '   ', '      ', '      drawPile = new EightsCardCollection(""Draw pile"");', '      deck.dealAll(drawPile);', '   ', '      ', '      in = new Scanner(System.in);', '   }']","{'public': 1, 'Eights': 1, 'TOKEN_VARIABLE': 21, 'new': 5, 'EightsDeck': 1, 'STRING_LITERAL': 3, 'shuffle': 1, 'int': 2, 'INTEGER_LITERAL': 5, 'for': 1, 'size': 2, 'deal': 2, 'get': 1, 'getHand': 1, 'Random': 1, 'nextInt': 1, 'EightsCardCollection': 2, 'dealAll': 1, 'Scanner': 1}",CodeBlock25,D:/projects/clone/test_project/Chapter14\Eights.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
25,CodeBlock22,23,37,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,"['   public static void test(ArrayList<EightsPlayer> players, int count){', '      int total = players.size();   ', '      int[] scores = new int[total];', '      int[] board = new int[total];', '      for (int round=0;round<count;round++){ { ', '         Eights newGame = new Eights(players); } ', '         int[] result = newGame.play();', '         for (int i = 0;i<total;i++){ scores[i] += result[i]; } { ', '         board[newGame.getWinner()] += 1; } ', '      }', '      System.out.printf(""\\n\\n----[Report for %d test(s)]----\\n"", count); { ', '      for (int i=0;i<total;i++){', '         System.out.printf(""Player %s: %.2f percent, lost: %d points\\n"", players.get(i).getName(), board[i]*100/(double)count, scores[i]); } ', '      }', '   }']","{'public': 1, 'static': 1, 'void': 1, 'test': 1, 'TOKEN_VARIABLE': 37, 'int': 10, 'size': 1, 'new': 3, 'for': 3, 'INTEGER_LITERAL': 13, 'Eights': 1, 'play': 1, 'getWinner': 1, 'printf': 2, 'STRING_LITERAL': 2, 'get': 1, 'getName': 1, 'double': 1}",CodeBlock26,D:/projects/clone/test_project/Chapter14\Eights.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
26,CodeBlock23,79,99,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,"['   public int[] play() {', '      EightsPlayer player = players.get(current);', '      ', '      ', '      while (!isDone()) {', '         displayState();', '         waitForUser();', '         takeTurn(player);', '         player = nextPlayer();', '      }', '   ', '      ', '      int[] result = new int[players.size()];', '      for (int i = 0;i<players.size();i++){ { ', '         EightsPlayer user = players.get(i); } ', '         user.displayScore();', '         result[i] = user.score();', '      }', '      winner = previousIndex();', '      return result;', '   }']","{'public': 1, 'int': 4, 'play': 1, 'TOKEN_VARIABLE': 16, 'get': 2, 'while': 1, 'isDone': 1, 'displayState': 1, 'waitForUser': 1, 'takeTurn': 1, 'nextPlayer': 1, 'new': 1, 'size': 2, 'for': 1, 'INTEGER_LITERAL': 3, 'displayScore': 1, 'score': 1, 'previousIndex': 1, 'return': 1}",CodeBlock27,D:/projects/clone/test_project/Chapter14\Eights.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
27,CodeBlock24,191,203,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,"['   public void reshuffle() {', '      ', '      EightsCard prev = discardPile.removeLast();', '   ', '      ', '      discardPile.dealAll(drawPile);', '   ', '      ', '      discardPile.append(prev);', '   ', '      ', '      drawPile.shuffle();', '   }']","{'public': 1, 'void': 1, 'reshuffle': 1, 'TOKEN_VARIABLE': 4, 'removeLast': 1, 'dealAll': 1, 'append': 1, 'shuffle': 1}",CodeBlock28,D:/projects/clone/test_project/Chapter14\Eights.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
28,CodeBlock25,51,74,D:/projects/clone/test_project/Chapter14\Eights.java,"['   public Eights(ArrayList<EightsPlayer> players) {', '      EightsDeck deck = new EightsDeck(""Deck"");', '      deck.shuffle();', '   ', '      ', '      int handSize = 5;', '      this.players = players;', '      for (int i=0;i<players.size();i++) { ', '         deck.deal(players.get(i).getHand(), handSize); } ', '   ', '      random = new Random();', '      current = random.nextInt(players.size());', '   ', '      ', '      discardPile = new EightsCardCollection(""Discards"");', '      deck.deal(discardPile, 1);', '   ', '      ', '      drawPile = new EightsCardCollection(""Draw pile"");', '      deck.dealAll(drawPile);', '   ', '      ', '      in = new Scanner(System.in);', '   }']","{'public': 1, 'Eights': 1, 'TOKEN_VARIABLE': 21, 'new': 5, 'EightsDeck': 1, 'STRING_LITERAL': 3, 'shuffle': 1, 'int': 2, 'INTEGER_LITERAL': 5, 'for': 1, 'size': 2, 'deal': 2, 'get': 1, 'getHand': 1, 'Random': 1, 'nextInt': 1, 'EightsCardCollection': 2, 'dealAll': 1, 'Scanner': 1}",CodeBlock21,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
29,CodeBlock26,23,37,D:/projects/clone/test_project/Chapter14\Eights.java,"['   public static void test(ArrayList<EightsPlayer> players, int count){', '      int total = players.size();   ', '      int[] scores = new int[total];', '      int[] board = new int[total];', '      for (int round=0;round<count;round++){ { ', '         Eights newGame = new Eights(players); } ', '         int[] result = newGame.play();', '         for (int i = 0;i<total;i++){ scores[i] += result[i]; } { ', '         board[newGame.getWinner()] += 1; } ', '      }', '      System.out.printf(""\\n\\n----[Report for %d test(s)]----\\n"", count); { ', '      for (int i=0;i<total;i++){', '         System.out.printf(""Player %s: %.2f percent, lost: %d points\\n"", players.get(i).getName(), board[i]*100/(double)count, scores[i]); } ', '      }', '   }']","{'public': 1, 'static': 1, 'void': 1, 'test': 1, 'TOKEN_VARIABLE': 37, 'int': 10, 'size': 1, 'new': 3, 'for': 3, 'INTEGER_LITERAL': 13, 'Eights': 1, 'play': 1, 'getWinner': 1, 'printf': 2, 'STRING_LITERAL': 2, 'get': 1, 'getName': 1, 'double': 1}",CodeBlock22,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
30,CodeBlock27,79,99,D:/projects/clone/test_project/Chapter14\Eights.java,"['   public int[] play() {', '      EightsPlayer player = players.get(current);', '      ', '      ', '      while (!isDone()) {', '         displayState();', '         waitForUser();', '         takeTurn(player);', '         player = nextPlayer();', '      }', '   ', '      ', '      int[] result = new int[players.size()];', '      for (int i = 0;i<players.size();i++){ { ', '         EightsPlayer user = players.get(i); } ', '         user.displayScore();', '         result[i] = user.score();', '      }', '      winner = previousIndex();', '      return result;', '   }']","{'public': 1, 'int': 4, 'play': 1, 'TOKEN_VARIABLE': 16, 'get': 2, 'while': 1, 'isDone': 1, 'displayState': 1, 'waitForUser': 1, 'takeTurn': 1, 'nextPlayer': 1, 'new': 1, 'size': 2, 'for': 1, 'INTEGER_LITERAL': 3, 'displayScore': 1, 'score': 1, 'previousIndex': 1, 'return': 1}",CodeBlock23,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
31,CodeBlock28,191,203,D:/projects/clone/test_project/Chapter14\Eights.java,"['   public void reshuffle() {', '      ', '      EightsCard prev = discardPile.removeLast();', '   ', '      ', '      discardPile.dealAll(drawPile);', '   ', '      ', '      discardPile.append(prev);', '   ', '      ', '      drawPile.shuffle();', '   }']","{'public': 1, 'void': 1, 'reshuffle': 1, 'TOKEN_VARIABLE': 4, 'removeLast': 1, 'dealAll': 1, 'append': 1, 'shuffle': 1}",CodeBlock24,D:/projects/clone/test_project/Chapter14\Eights - Copy.java,1,1,1,4,<NA>,<NA>,<class 'datetime.date'>,<NA>,19,2022-10-19 02:30:28.895471
